Sample ID,Bottle_ID,SiteName,map_code,Latitude,Longitude,State/Region,Sampler,Sample Date,NO3-N_µgL,NH4-N_µgL,TDN_µgL,PO4-P_µgL,SiO2_mgL,DOC_mgL,Approx. Air Temperature (°F),Water temperature (°F),,,,,,
20220220_MA_AE_01,2108,Millers River at Bridge Street,MA_AE01,42.597971,-72.437726,Massachusetts,Adam Eaton,2/20/2022,,,,,,,24,36,,,,,,
20220220_MA_AE_02,2089,Swift River at Route 9,MA_AE02,42.273982,-72.33797,Massachusetts,Adam Eaton,2/20/2022,,,,,,,25,38,,,,,,
20220220_MA_AE_03,2098,Scantic River at Mill Road,MA_AE03,42.048557,-72.454031,Massachusetts,Adam Eaton,2/20/2022,,,,,,,25,38,,,,,,
20220203_NH_DL_01,2782,Saco River Below Confluence of Swift River,NH_DL02,43.981303,-71.115356,New Hampshire,Dominic Lentini,2/3/2022,,,,,,,42,34,,,,,,
20220202_NH_DL_01,2784,Connecticut River at North Stratford,NH_DL01,44.751528,-71.632451,New Hampshire,Dominic Lentini,2/2/2022,,,,,,,42,34,,,,,,
20220131_MA_AE_01,2088,Swift River at Route 9,MA_AE02,42.273982,-72.33797,Massachusetts,Adam Eaton,1/31/2022,,,,,,,31,35,,,,,,
20220130_NM_RG_01,2604,Jemez River at La Junta Fishing Site,NM_RG01,35.67142,-106.7425,New Mexico,Henry Fountain,1/30/2022,,,,,,,42,38,,,,,,
20220130_NM_RG_02,2605,Guadalupe Rio Below Gilman Tunnel,NM_RG02,35.73247,-106.75999,New Mexico,Henry Fountain,1/30/2022,,,,,,,39,36,,,,,,
20220129_TX_BU_01,3640,South Fork Brushy Creek,TX_BU01,30.5088,-97.7589,Texas,Living Waters Fly Fishing,1/29/2022,7081,72,5841,7,5.3,5.4,63,54,,,,,,
20220129_TX_BU_02,2287,North Fork Brushy Creek,TX_BU02,30.5195,-97.7464,Texas,Living Waters Fly Fishing,1/29/2022,1377,46,1565,4,2.0,4.4,63,56,,,,,,
20220129_TX_BU_03,2276,Brushy Creek at Summit Crossing,TX_BU03,30.5127,-97.6844,Texas,Living Waters Fly Fishing,1/29/2022,2333,15,2555,2,2.7,3.5,63,54,,,,,,
20220129_TX_BU_04,2288,Brushy Creek at CR123,TX_BU04,30.5308,-97.5894,Texas,Living Waters Fly Fishing,1/29/2022,2206,4465,7585,321,5.1,5.9,63,62,,,,,,
20220129_TX_BU_05,2286,Brushy Creek near Hutto,TX_BU05,30.5186,-97.5467,Texas,Living Waters Fly Fishing,1/29/2022,2325,5124,7117,635,4.3,6.0,63,60,,,,,,
20220128_MA_AE_01,2107,Millers River at Bridge Street,MA_AE01,42.597971,-72.437726,Massachusetts,Adam Eaton,1/28/2022,,,,,,,31,35,,,,,,
20210127_PA_CC_01,3174,Codorus Creek along RT 24,PA_CC04,40.01877,-76.69313,Pennsylvania,Rob Harvey,1/27/2022,,,,,,,36,44,,,,,,
20220126_MA_AE_01,2097,Scantic River at Mill Road,MA_AE03,42.048557,-72.454031,Massachusetts,Adam Eaton,1/26/2022,,,,,,,26,33,,,,,,
20220124_CO_SM_01,3793,San Miguel River at Placerville,CO_SM08,38.03106,-108.11077,Colorado,Allie Cunningham,1/24/2022,,,,,,,17,32.1,,,,,,
20220124_CO_SM_02,3792,San Miguel River above confluence with South Fork,CO_SM07,37.94588,-107.89388,Colorado,Allie Cunningham,1/24/2022,,,,,,,21,32,,,,,,
20220124_CO_SM_03,3791,South Fork near confluence with San Miguel River,CO_SM05,37.93851,-107.89833,Colorado,Allie Cunningham,1/24/2022,,,,,,,21,31.9,,,,,,
20220124_CO_SM_04,3790,Lake Fork in Ames CO,CO_SM02,37.86032,-107.88562,Colorado,Allie Cunningham,1/24/2022,,,,,,,18,32.1,,,,,,
20220124_CO_SM_05,3794,Howard Fork near Ames CO,CO_SM04,37.86356,-107.87369,Colorado,Allie Cunningham,1/24/2022,,,,,,,18,32.9,,,,,,
20220124_CO_SM_06,3796,San Miguel River in Telluride CO,CO_SM06,37.93603,-107.80668,Colorado,Allie Cunningham,1/24/2022,,,,,,,24,40,,,,,,
20220124_MT_MR_01,3694,Madison River at Varney Boat Launch,MT_MR02,45.2308,-111.75162,Montana,Justin Edge,1/24/2022,,,,,,,23,33,,,,,,
20220121_CA_TR_01,3400,Truckee River at Glenshire Bridge,CA_TR02,39.35313,-120.12278,California,Envirolution Club,1/21/2022,,,,,,,31,40,,,,,,
20220121_CA_TR_02,3401,Truckee River at Hirschdale Bridge,CA_TR03,39.36781,-120.07566,California,Envirolution Club,1/21/2022,,,,,,,27,39,,,,,,
20220121_CA_TR_03,3402,Truckee River Below Lake Tahoe Dam,CA_TR01,39.16655,-120.14487,California,Envirolution Club,1/21/2022,,,,,,,30,42,,,,,,
20210118_PA_CC_01,3177,Codorus Creek at Brown Rd,PA_CC01,39.821361,-76.883527,Pennsylvania,Rob Harvey,1/18/2022,,,,,,,36,46,,,,,,
20210114_PA_CC_01,3169,East Branch at Iron Stone Hill Road,PA_CC03,39.87197,-76.679065,Pennsylvania,Rob Harvey,1/14/2022,,,,,,,38,46,,,,,,
20220110_PA_BM_01,3610,Delaware River at Phillipsburg Boat Ramp,PA_BM04,40.69247,-75.20337,Pennsylvania,Bruce McCutcheon,1/10/2022,,,,,,,26,34,,,,,,
20220110_PA_BM_02,3611,Bushkill Creek below Crayola,PA_BM02,40.69999,-75.24008,Pennsylvania,Bruce McCutcheon,1/10/2022,,,,,,,25,42,,,,,,
20220110_PA_BM_03,3612,Bushkill Creek at Stockertown,PA_BM01,40.7485,-75.26239,Pennsylvania,Bruce McCutcheon,1/10/2022,,,,,,,26,44,,,,,,
20220110_PA_BM_04,3613,Martins Creek at Class A Wild Trout Stream,PA_BM03,40.79231,-75.18926,Pennsylvania,Bruce McCutcheon,1/10/2022,,,,,,,26,38,,,,,,
20220109_MO_MR_01,2627,Meramec River at Meramec State Park,MO_MR03,38.20786,-91.09405,Missouri,Jeff Gabel,1/9/2022,,,,,,,34,40,,,,,,
20220109_MO_MR_02,2628,Upper Meramec River at Highway 8,MO_MR01,37.95119,-91.50852,Missouri,Jeff Gabel,1/9/2022,,,,,,,33,43,,,,,,
20220109_MO_MR_03,2629,Upper Meramec River at Grass Trail Pool,MO_MR02,37.967542,-91.527254,Missouri,Jeff Gabel,1/9/2022,,,,,,,33,50,,,,,,
20220108_NH_DL_01,2799,Connecticut River at North Stratford,NH_DL01,44.751528,-71.632451,New Hampshire,Dominic Lentini,1/8/2022,,,,,,,5,32,,,,,,
20220108_NH_DL_02,2795,Saco River Below Confluence of Swift River,NH_DL02,43.981303,-71.115356,New Hampshire,Dominic Lentini,1/8/2022,,,,,,,24,33,,,,,,
20220105_MS_TR_01,2122,Tibbee Creek at Old Tibbee Road,MS_TR01,33.53811,-88.632528,Mississippi,Austin Cook,1/5/2022,,,,,,,63,49,,,,,,
20220105_MS_TR_02,2121,Tombigbee River at Barton Ferrie,MS_TR02,33.644667,-88.49875,Mississippi,Austin Cook,1/5/2022,,,,,,,57,50,,,,,,
20220105_MS_TR_03,2120,Buttahatchee River above confluence with Tombigbee,MS_TR03,33.664806,-88.485722,Mississippi,Austin Cook,1/5/2022,,,,,,,57,49,,,,,,
20220102_CT_SR_01,1887,Shepaug River at Valley Road,CT_SR01,41.708759,-73.294242,Connecticut ,Ethan Ram,1/2/2022,,,,,,,42,40,,,,,,
